action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,52419,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '16.31', 'le': '0.33', 'lle': '1.43', 'sei': '11.47'}",CHEMBL131536,,CHEMBL131536,5.85,0,http://www.openphacts.org/units/Nanomolar,252531,=,1,1,=,,IC50,nM,,1400.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,1.4
,,52422,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '17.91', 'le': '0.34', 'lle': '2.20', 'sei': '8.60'}",CHEMBL106126,,CHEMBL106126,4.77,0,http://www.openphacts.org/units/Nanomolar,252545,=,1,1,=,,IC50,nM,,17000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,17.0
,,53730,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '16.17', 'le': '0.31', 'lle': '1.79', 'sei': '9.89'}",CHEMBL334971,,CHEMBL334971,5.96,0,http://www.openphacts.org/units/Nanomolar,252548,=,1,1,=,,IC50,nM,,1100.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,1.1
,,57406,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '22.52', 'le': '0.47', 'lle': '3.82', 'sei': '14.87'}",CHEMBL130666,,CHEMBL130666,7.58,0,http://www.openphacts.org/units/Nanomolar,252535,=,1,1,=,,IC50,nM,,26.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.026
,,62585,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '22.06', 'le': '0.44', 'lle': '3.59', 'sei': '11.95'}",CHEMBL133388,,CHEMBL133388,6.10,0,http://www.openphacts.org/units/Nanomolar,252556,=,1,1,=,,IC50,nM,,800.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.8
,,65200,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '23.33', 'le': '0.50', 'lle': '4.01', 'sei': '14.21'}",CHEMBL336524,,CHEMBL336524,7.25,0,http://www.openphacts.org/units/Nanomolar,252554,=,1,1,=,,IC50,nM,,56.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.056
,,65203,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '19.33', 'le': '0.38', 'lle': '2.24', 'sei': '13.13'}",CHEMBL336276,,CHEMBL336276,6.70,0,http://www.openphacts.org/units/Nanomolar,252526,=,1,1,=,,IC50,nM,,200.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.2
,,66558,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '20.08', 'le': '0.42', 'lle': '2.89', 'sei': '12.78'}",CHEMBL334395,,CHEMBL334395,6.52,0,http://www.openphacts.org/units/Nanomolar,252555,=,1,1,=,,IC50,nM,,300.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.3
,,66561,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '19.45', 'le': '0.40', 'lle': '3.26', 'sei': '13.13'}",CHEMBL131320,,CHEMBL131320,6.70,0,http://www.openphacts.org/units/Nanomolar,252553,=,1,1,=,,IC50,nM,,200.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.2
,,67681,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '19.07', 'le': '0.39', 'lle': '3.08', 'sei': '12.35'}",CHEMBL337714,,CHEMBL337714,6.30,0,http://www.openphacts.org/units/Nanomolar,252544,=,1,1,=,,IC50,nM,,500.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.5
,,72128,[],CHEMBL644102,Reversible inhibition of Human AchE,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123431,J Med Chem,1986.0,,CHEMBL46151,,CHEMBL46151,,0,http://www.openphacts.org/units/Nanomolar,76298,=,1,1,=,,IC50,nM,,260000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,mM,UO_0000065,,0.26
,,72405,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],,,CHEMBL1126972,J Med Chem,1993.0,"{'bei': '34.29', 'le': '0.65', 'lle': '5.72', 'sei': '25.92'}",CHEMBL54126,NEOSTIGMINE BROMIDE,CHEMBL278020,7.66,0,http://www.openphacts.org/units/Nanomolar,301730,=,1,1,=,,IC50,nM,,22.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,22.0
,,73234,[],CHEMBL645001,Inhibition of Acetylcholinesterase (AChE) from human RBC,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCN4CCOCC4)ccc3N(C)[C@@H]12,,,CHEMBL1128816,Bioorg Med Chem Lett,1995.0,"{'bei': '13.95', 'le': '0.26', 'lle': '3.55', 'sei': '9.46'}",CHEMBL65667,,CHEMBL65667,5.42,0,http://www.openphacts.org/units/Nanomolar,112508,=,1,1,=,,IC50,nM,,3800.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,3.8
,,73235,[],CHEMBL645001,Inhibition of Acetylcholinesterase (AChE) from human RBC,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,,,CHEMBL1128816,Bioorg Med Chem Lett,1995.0,"{'bei': '15.20', 'le': '0.29', 'lle': '2.80', 'sei': '12.92'}",CHEMBL431519,,CHEMBL431519,7.40,0,http://www.openphacts.org/units/Nanomolar,112505,=,1,1,=,,IC50,nM,,40.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.04
,,74492,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=C1Nc2ccccc2N1CCNCc1ccc(CN2CCCCC2)o1,,,CHEMBL1126972,J Med Chem,1993.0,"{'bei': '17.73', 'le': '0.32', 'lle': '3.59', 'sei': '7.82'}",CHEMBL154972,,CHEMBL154972,7.14,0,http://www.openphacts.org/units/Nanomolar,301758,=,1,1,=,,IC50,nM,,73.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,73.0
,,74496,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(N)c(Cl)cc1C(=O)NCCNCc1ccc(CN(C)C)o1,,,CHEMBL1126972,J Med Chem,1993.0,"{'bei': '14.46', 'le': '0.29', 'lle': '3.40', 'sei': '5.94'}",CHEMBL152722,,CHEMBL152722,5.51,0,http://www.openphacts.org/units/Nanomolar,301736,=,1,1,=,,IC50,nM,,3100.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,3100.0
,,75262,[],CHEMBL644102,Reversible inhibition of Human AchE,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.Cl,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123431,J Med Chem,1986.0,,CHEMBL544022,,CHEMBL1192735,,0,http://www.openphacts.org/units/Nanomolar,76282,=,1,1,=,,IC50,nM,,520000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,mM,UO_0000065,,0.52
,,75661,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,,,CHEMBL1126972,J Med Chem,1993.0,"{'bei': '14.47', 'le': '0.27', 'lle': '5.07', 'sei': '5.66'}",CHEMBL349127,,CHEMBL349127,5.35,0,http://www.openphacts.org/units/Nanomolar,301754,=,1,1,=,,IC50,nM,,4500.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,4500.0
,,75663,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1nc2ccccc2n1CCNCc1ccc(CN2CCCCC2)o1,,,CHEMBL1126972,J Med Chem,1993.0,"{'bei': '16.70', 'le': '0.31', 'lle': '2.81', 'sei': '8.91'}",CHEMBL156659,,CHEMBL156659,5.92,0,http://www.openphacts.org/units/Nanomolar,301735,=,1,1,=,,IC50,nM,,1200.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,1200.0
,,80111,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CC1CCCCN1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,,,CHEMBL1126972,J Med Chem,1993.0,"{'bei': '17.01', 'le': '0.32', 'lle': '4.36', 'sei': '6.87'}",CHEMBL155322,,CHEMBL155322,6.27,0,http://www.openphacts.org/units/Nanomolar,301745,=,1,1,=,,IC50,nM,,540.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,540.0
,,81327,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1,,,CHEMBL1126972,J Med Chem,1993.0,"{'bei': '21.22', 'le': '0.40', 'lle': '6.00', 'sei': '8.24'}",CHEMBL154211,,CHEMBL154211,7.52,0,http://www.openphacts.org/units/Nanomolar,301732,=,1,1,=,,IC50,nM,,30.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,30.0
,,81331,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CNC(NCCNCc1ccc(CN2CCCCC2)o1)=C(C#N)C#N.Cl,,,CHEMBL1126972,J Med Chem,1993.0,"{'bei': '17.76', 'le': '0.33', 'lle': '4.66', 'sei': '6.08'}",CHEMBL1203537,,CHEMBL433521,6.08,0,http://www.openphacts.org/units/Nanomolar,301749,=,1,1,=,,IC50,nM,,830.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,830.0
,,82437,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCC(O)CC2)o1,,,CHEMBL1126972,J Med Chem,1993.0,"{'bei': '17.30', 'le': '0.32', 'lle': '5.92', 'sei': '5.75'}",CHEMBL345849,,CHEMBL345849,6.41,0,http://www.openphacts.org/units/Nanomolar,301743,=,1,1,=,,IC50,nM,,390.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,390.0
,,83376,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,,,CHEMBL1126972,J Med Chem,1993.0,"{'bei': '20.39', 'le': '0.38', 'lle': '5.82', 'sei': '7.02'}",CHEMBL154689,,CHEMBL154689,6.41,0,http://www.openphacts.org/units/Nanomolar,301731,=,1,1,=,,IC50,nM,,390.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,390.0
,,83378,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,,,CHEMBL1126972,J Med Chem,1993.0,"{'bei': '19.39', 'le': '0.36', 'lle': '5.39', 'sei': '6.98'}",CHEMBL346733,,CHEMBL346733,6.37,0,http://www.openphacts.org/units/Nanomolar,301759,=,1,1,=,,IC50,nM,,430.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,430.0
,,84425,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1.Cl,,,CHEMBL1126972,J Med Chem,1993.0,"{'bei': '18.17', 'le': '0.34', 'lle': '4.85', 'sei': '6.82'}",CHEMBL1203539,,CHEMBL346576,6.22,0,http://www.openphacts.org/units/Nanomolar,301760,=,1,1,=,,IC50,nM,,600.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,600.0
,,85256,[],CHEMBL645001,Inhibition of Acetylcholinesterase (AChE) from human RBC,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCN4CCOCC4)ccc3N(C)[C@@H]12,,,CHEMBL1128816,Bioorg Med Chem Lett,1995.0,"{'bei': '11.62', 'le': '0.22', 'lle': '2.42', 'sei': '8.17'}",CHEMBL63173,,CHEMBL63173,4.68,0,http://www.openphacts.org/units/Nanomolar,112509,=,1,1,=,,IC50,nM,,21000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,21.0
,,85257,[],CHEMBL645001,Inhibition of Acetylcholinesterase (AChE) from human RBC,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,,,CHEMBL1128816,Bioorg Med Chem Lett,1995.0,"{'bei': '18.18', 'le': '0.34', 'lle': '2.43', 'sei': '14.59'}",CHEMBL433041,EPTASTIGMINE,CHEMBL433041,6.54,0,http://www.openphacts.org/units/Nanomolar,112502,=,1,1,=,,IC50,nM,,290.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.29
,,86169,[],CHEMBL645000,In vitro inhibitory activity against Acetylcholinesterase from human RBC,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CC[C@@]2(C)c3cc(OC(=O)NCCN4CCOCC4)ccc3N(C)[C@@H]12,,,CHEMBL1128816,Bioorg Med Chem Lett,1995.0,"{'bei': '16.44', 'le': '0.31', 'lle': '4.67', 'sei': '10.75'}",CHEMBL292788,,CHEMBL292788,6.16,0,http://www.openphacts.org/units/Nanomolar,112498,=,1,1,=,,IC50,nM,,700.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.7
,,87149,[],CHEMBL644102,Reversible inhibition of Human AchE,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1.[Cl-].[Cl-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123431,J Med Chem,1986.0,,CHEMBL33051,,CHEMBL385181,,0,http://www.openphacts.org/units/Nanomolar,76286,=,1,1,=,,IC50,nM,,460000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,mM,UO_0000065,,0.46
,,87471,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CNC(NCCNCc1ccc(CN(C)C)o1)=C(C#N)C#N,,,CHEMBL1126972,J Med Chem,1993.0,"{'bei': '20.51', 'le': '0.38', 'lle': '5.70', 'sei': '6.20'}",CHEMBL155392,,CHEMBL155392,6.20,0,http://www.openphacts.org/units/Nanomolar,301752,=,1,1,=,,IC50,nM,,630.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,630.0
,,87473,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CNC(NCCNCc1ccc(CN(C(C)C)C(C)C)o1)=C(C#N)C#N,,,CHEMBL1126972,J Med Chem,1993.0,"{'bei': '15.84', 'le': '0.30', 'lle': '3.62', 'sei': '5.67'}",CHEMBL153311,,CHEMBL153311,5.68,0,http://www.openphacts.org/units/Nanomolar,301751,=,1,1,=,,IC50,nM,,2100.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,2100.0
,,88189,[],CHEMBL644102,Reversible inhibition of Human AchE,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)N(CCS/C(=N\O)C(=O)c1ccc(Cl)cc1)C(C)C.Cl,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123431,J Med Chem,1986.0,,CHEMBL543546,,CHEMBL1192326,,0,http://www.openphacts.org/units/Nanomolar,76288,=,1,1,=,,IC50,nM,,330000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,mM,UO_0000065,,0.33
,,88195,[],CHEMBL644102,Reversible inhibition of Human AchE,B,,,BAO_0000190,BAO_0000357,single protein format,C[n+]1ccccc1C=NO,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123431,J Med Chem,1986.0,,CHEMBL1420,PRALIDOXIME,CHEMBL1420,,0,http://www.openphacts.org/units/Nanomolar,76287,=,1,1,=,,IC50,nM,,340000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,mM,UO_0000065,,0.34
,,89426,[],CHEMBL636834,Inhibition of guinea pig acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CC1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,,,CHEMBL1126972,J Med Chem,1993.0,"{'bei': '17.74', 'le': '0.33', 'lle': '4.77', 'sei': '7.16'}",CHEMBL154263,,CHEMBL154263,6.54,0,http://www.openphacts.org/units/Nanomolar,301733,=,1,1,=,,IC50,nM,,290.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,nM,UO_0000065,,290.0
,,90065,[],CHEMBL644102,Reversible inhibition of Human AchE,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.Cl,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123431,J Med Chem,1986.0,,CHEMBL544669,,CHEMBL1193288,,0,http://www.openphacts.org/units/Nanomolar,76300,=,1,1,=,,IC50,nM,,210000.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,mM,UO_0000065,,0.21
